fromNode toNode weight direction fromAltName toAltName
Arpp21 Tox 0.0549485364961089 undirected NA NA
Arpp21 Wdr6 0.0685612428694967 undirected NA NA
Arpp21 Xbp1 0.138116793969147 undirected NA NA
Arpp21 Zdhhc14 0.0513054775844673 undirected NA NA
Arrdc1 BC051226 0.269340603746836 undirected NA NA
Arrdc1 Cd97 0.233621025230442 undirected NA NA
Arrdc1 Chordc1 0.370006896659526 undirected NA NA
Arrdc1 Creld2 0.362489457047695 undirected NA NA
Arrdc1 Cryab 0.122931952246264 undirected NA NA
Arrdc1 Cys1 0.243971354678255 undirected NA NA
Arrdc1 Dhcr24 0.0638309728590855 undirected NA NA
Arrdc1 Dnajb11 0.219502300086403 undirected NA NA
Arrdc1 Dnajc3 0.376647549183101 undirected NA NA
Arrdc1 E130307A14Rik 0.0772982132091275 undirected NA NA
Arrdc1 Fdft1 0.0746558822781966 undirected NA NA
Arrdc1 Fdps 0.265073522081215 undirected NA NA
Arrdc1 Gm6741 0.239125370507946 undirected NA NA
Arrdc1 Gm7120 0.109863706195123 undirected NA NA
Arrdc1 Gstk1 0.0787887207476768 undirected NA NA
Arrdc1 Hsp90b1 0.277071174456026 undirected NA NA
Arrdc1 Hspa1b 0.192845478082984 undirected NA NA
Arrdc1 Hspa5 0.335867549879787 undirected NA NA
Arrdc1 Hspb1 0.244016970948431 undirected NA NA
Arrdc1 Insig1 0.20332977248596 undirected NA NA
Arrdc1 Iqgap2 0.151444965147125 undirected NA NA
Arrdc1 Klhl29 0.291086522926816 undirected NA NA
Arrdc1 Lime1 0.0353614420329592 undirected NA NA
Arrdc1 Magt1 0.14098431828763 undirected NA NA
Arrdc1 Manf 0.305976486007201 undirected NA NA
Arrdc1 Mapk12 0.0676181872082341 undirected NA NA
Arrdc1 Mas1 0.0271200085801343 undirected NA NA
Arrdc1 Mical1 0.221783744606043 undirected NA NA
Arrdc1 Mllt3 0.238991131071044 undirected NA NA
Arrdc1 Nsdhl 0.0407802740761263 undirected NA NA
Arrdc1 Pdia3 0.353584614837363 undirected NA NA
Arrdc1 Pdia4 0.218809436783774 undirected NA NA
Arrdc1 Pdia6 0.36758205138977 undirected NA NA
Arrdc1 Pstpip2 0.144287184863481 undirected NA NA
Arrdc1 Rab34 0.110099828192281 undirected NA NA
Arrdc1 Rps6ka5 0.107200277187877 undirected NA NA
Arrdc1 Sars2 0.256798057191846 undirected NA NA
Arrdc1 Sc4mol 0.157336394446984 undirected NA NA
Arrdc1 Sdf2l1 0.31970297835442 undirected NA NA
Arrdc1 Sh3rf3 0.209867525893789 undirected NA NA
Arrdc1 Simc1 0.0438509112965643 undirected NA NA
Arrdc1 Slc6a13 0.205826759951078 undirected NA NA
Arrdc1 Spice1 0.305692889049384 undirected NA NA
Arrdc1 Srebf1 0.185028653150335 undirected NA NA
Arrdc1 Stard4 0.174285738368226 undirected NA NA
Arrdc1 Stx2 0.0373417841888292 undirected NA NA
Arrdc1 Taf6l 0.0310385066326306 undirected NA NA
Arrdc1 Tnni1 0.0813168590966356 undirected NA NA
Arrdc1 Tox 0.130431969274923 undirected NA NA
Arrdc1 Wdr6 0.133260938743758 undirected NA NA
Arrdc1 Xbp1 0.335640796828813 undirected NA NA
Arrdc1 Zdhhc14 0.203542462512087 undirected NA NA
Arrdc1 Zfp316 0.0207415084840228 undirected NA NA
BC051226 Cd97 0.184294136015029 undirected NA NA
BC051226 Chordc1 0.160163796647775 undirected NA NA
BC051226 Creld2 0.279536102727631 undirected NA NA
BC051226 Cryab 0.0845748841098791 undirected NA NA
BC051226 Cys1 0.187511972017264 undirected NA NA
BC051226 Dhcr24 0.0242856185262477 undirected NA NA
BC051226 Dnajb11 0.155262515883053 undirected NA NA
BC051226 Dnajc3 0.282437840654806 undirected NA NA
BC051226 Fdft1 0.0310309029494267 undirected NA NA
BC051226 Fdps 0.213856132702088 undirected NA NA
BC051226 Gm6741 0.188192238379487 undirected NA NA
BC051226 Gm7120 0.0312562858685802 undirected NA NA
BC051226 Gstk1 0.0424707422750469 undirected NA NA
BC051226 Hsp90b1 0.165137524656757 undirected NA NA
BC051226 Hspa1b 0.0963273254718107 undirected NA NA
BC051226 Hspa5 0.280060324008078 undirected NA NA
BC051226 Hspb1 0.236104584744372 undirected NA NA
BC051226 Insig1 0.174029578779017 undirected NA NA
BC051226 Iqgap2 0.061982716016005 undirected NA NA
BC051226 Klhl29 0.25742935531733 undirected NA NA
BC051226 Lime1 0.039110150780729 undirected NA NA
BC051226 Magt1 0.04355378252884 undirected NA NA
BC051226 Manf 0.260172722051788 undirected NA NA
BC051226 Mapk12 0.0533443439309221 undirected NA NA
BC051226 Mical1 0.145940552694815 undirected NA NA
BC051226 Mllt3 0.0899934572078748 undirected NA NA
BC051226 Nsdhl 0.022163000852931 undirected NA NA
BC051226 Pdia3 0.227606247137998 undirected NA NA
BC051226 Pdia4 0.182906732941258 undirected NA NA
BC051226 Pdia6 0.269222589017141 undirected NA NA
BC051226 Pstpip2 0.10397625004884 undirected NA NA
BC051226 Rab34 0.0440872907097523 undirected NA NA
BC051226 Rps6ka5 0.0989980671270465 undirected NA NA
BC051226 Sars2 0.181421706103306 undirected NA NA
BC051226 Sc4mol 0.15170302786855 undirected NA NA
BC051226 Sdf2l1 0.250166816085899 undirected NA NA
BC051226 Sh3rf3 0.163873040693171 undirected NA NA
BC051226 Slc6a13 0.166603831154848 undirected NA NA
BC051226 Spice1 0.0989620084159209 undirected NA NA
BC051226 Srebf1 0.136664476655423 undirected NA NA
BC051226 Stard4 0.147566292046627 undirected NA NA
BC051226 Tnni1 0.113374464956402 undirected NA NA
BC051226 Tox 0.0491058873187164 undirected NA NA
BC051226 Wdr6 0.0646379254489705 undirected NA NA
BC051226 Xbp1 0.289761788245704 undirected NA NA
BC051226 Zdhhc14 0.137107353525795 undirected NA NA
Cd97 Chordc1 0.236933830884022 undirected NA NA
Cd97 Creld2 0.26220334617548 undirected NA NA
Cd97 Cryab 0.0719825766511543 undirected NA NA
Cd97 Cys1 0.147664862149669 undirected NA NA
Cd97 Dhcr24 0.0223828249957383 undirected NA NA
Cd97 Dnajb11 0.289180497058012 undirected NA NA
Cd97 Dnajc3 0.268932471884382 undirected NA NA
Cd97 E130307A14Rik 0.0635385349301623 undirected NA NA
Cd97 Fdft1 0.0306228809458878 undirected NA NA
Cd97 Fdps 0.178653342117165 undirected NA NA
Cd97 Gm6741 0.193380711642258 undirected NA NA
Cd97 Gm7120 0.0436166146763881 undirected NA NA
Cd97 Gstk1 0.182510078927517 undirected NA NA
Cd97 Hsp90b1 0.284726910596491 undirected NA NA
Cd97 Hspa1b 0.261681994924964 undirected NA NA
Cd97 Hspa5 0.271838273960495 undirected NA NA
Cd97 Hspb1 0.225222772483758 undirected NA NA
Cd97 Insig1 0.227056141161887 undirected NA NA
Cd97 Iqgap2 0.20085596565361 undirected NA NA
Cd97 Klhl29 0.256631981121418 undirected NA NA
Cd97 Magt1 0.197337086373754 undirected NA NA
Cd97 Manf 0.245121758182733 undirected NA NA
Cd97 Mapk12 0.105006460363191 undirected NA NA
Cd97 Mas1 0.04844011065309 undirected NA NA
Cd97 Mical1 0.195041203104573 undirected NA NA
Cd97 Mllt3 0.260553586207838 undirected NA NA
Cd97 Pdia3 0.270726318366256 undirected NA NA
Cd97 Pdia4 0.254631643690527 undirected NA NA
Cd97 Pdia6 0.277398106073691 undirected NA NA
Cd97 Pstpip2 0.122333689482357 undirected NA NA
Cd97 Rab34 0.0781795899775392 undirected NA NA
Cd97 Rps6ka5 0.130504099201979 undirected NA NA
Cd97 Sars2 0.218374345471935 undirected NA NA
Cd97 Sc4mol 0.145713211433537 undirected NA NA
Cd97 Sdf2l1 0.256462252502601 undirected NA NA
Cd97 Sh3rf3 0.28519626218856 undirected NA NA
Cd97 Simc1 0.0523697463043828 undirected NA NA
Cd97 Slc6a13 0.214691688350392 undirected NA NA
Cd97 Spice1 0.119419776124082 undirected NA NA
Cd97 Srebf1 0.248915297344949 undirected NA NA
Cd97 Stard4 0.135648873550666 undirected NA NA
Cd97 Stx2 0.0243827817806679 undirected NA NA
Cd97 Taf6l 0.0699570278880115 undirected NA NA
Cd97 Tnni1 0.0485709386261028 undirected NA NA
Cd97 Tox 0.081010494066869 undirected NA NA
Cd97 Wdr6 0.219594878036345 undirected NA NA
Cd97 Xbp1 0.228529287793827 undirected NA NA
Cd97 Zdhhc14 0.260299931038533 undirected NA NA
Cd97 Zfp316 0.125511446796336 undirected NA NA
Chordc1 Creld2 0.489367247035722 undirected NA NA
Chordc1 Cryab 0.0471335822731088 undirected NA NA
Chordc1 Cys1 0.140597971959246 undirected NA NA
Chordc1 Dnajb11 0.266717045194158 undirected NA NA
Chordc1 Dnajc3 0.489831061419989 undirected NA NA
Chordc1 Fdps 0.214941230071272 undirected NA NA
